stock_number,year,make,model,days_on_lot,purchase_price,sale_price,front_gross,back_gross,salesperson,date_sold
UC2024001,2018,Toyota,Camry,45,12500,15995,3495,1250,Mike Johnson,2024-01-15
UC2024002,2019,Honda,Accord,23,16800,19500,2700,980,Sarah Chen,2024-01-18
UC2024003,2017,Ford,F-150,67,18200,22995,4795,1850,Tom Rodriguez,2024-01-22
UC2024004,2020,Chevrolet,Malibu,12,14500,17200,2700,1120,Lisa Park,2024-01-25
UC2024005,2016,Nissan,Altima,89,8900,12495,3595,750,Mike Johnson,2024-01-28
UC2024006,2019,Jeep,Wrangler,34,24500,28995,4495,2100,Derek Williams,2024-02-02
UC2024007,2018,Hyundai,Elantra,56,11200,14295,3095,890,Sarah Chen,2024-02-05
UC2024008,2017,Subaru,Outback,78,15600,18995,3395,1450,Amanda Foster,2024-02-08
UC2024009,2019,Mazda,CX-5,28,19200,22495,3295,1680,Tom Rodriguez,2024-02-12
UC2024010,2020,Kia,Forte,15,13800,16995,3195,1050,Lisa Park,2024-02-15
UC2024011,2016,BMW,320i,92,16500,21995,5495,2200,Derek Williams,2024-02-18
UC2024012,2018,Volkswagen,Jetta,41,13200,16495,3295,1180,Mike Johnson,2024-02-22
UC2024013,2019,Acura,TLX,36,22100,25995,3895,2050,Sarah Chen,2024-02-25
UC2024014,2017,Lexus,ES,73,18900,23495,4595,1750,Amanda Foster,2024-02-28
UC2024015,2020,Toyota,Corolla,19,14200,17495,3295,920,Tom Rodriguez,2024-03-03
UC2024016,2018,Honda,CR-V,52,17800,21495,3695,1520,Lisa Park,2024-03-06
UC2024017,2019,Ford,Escape,29,16200,19995,3795,1380,Derek Williams,2024-03-10
UC2024018,2017,Chevrolet,Equinox,64,12900,16495,3595,1150,Mike Johnson,2024-03-13
UC2024019,2020,Nissan,Sentra,8,12500,15795,3295,950,Sarah Chen,2024-03-16
UC2024020,2018,Hyundai,Tucson,47,15400,18995,3595,1420,Amanda Foster,2024-03-20
UC2024021,2019,Jeep,Cherokee,38,19800,23995,4195,1950,Tom Rodriguez,2024-03-23
UC2024022,2017,Subaru,Forester,69,14200,17995,3795,1280,Lisa Park,2024-03-26
UC2024023,2020,Mazda,Mazda3,22,15600,18995,3395,1090,Derek Williams,2024-03-29
UC2024024,2018,Kia,Sorento,55,16900,20495,3595,1650,Mike Johnson,2024-04-02
UC2024025,2019,Volkswagen,Tiguan,31,18500,22495,3995,1780,Sarah Chen,2024-04-05
UC2024026,2017,Acura,RDX,76,20200,24995,4795,1850,Amanda Foster,2024-04-08
UC2024027,2020,Lexus,NX,14,28900,32995,4095,2450,Tom Rodriguez,2024-04-12
UC2024028,2018,Toyota,Highlander,48,22500,26995,4495,2050,Lisa Park,2024-04-15
UC2024029,2019,Honda,Pilot,35,26200,29995,3795,2150,Derek Williams,2024-04-18
UC2024030,2017,Ford,Explorer,61,18900,23495,4595,1750,Mike Johnson,2024-04-22
UC2024031,2020,Chevrolet,Traverse,26,23800,27995,4195,2250,Sarah Chen,2024-04-25
UC2024032,2018,Nissan,Pathfinder,50,19200,23495,4295,1820,Amanda Foster,2024-04-28
UC2024033,2019,Hyundai,Santa Fe,33,20500,24495,3995,1950,Tom Rodriguez,2024-05-02
UC2024034,2017,Jeep,Grand Cherokee,72,21800,26995,5195,2100,Lisa Park,2024-05-05
UC2024035,2020,Subaru,Ascent,17,26500,30995,4495,2380,Derek Williams,2024-05-08
UC2024036,2018,Mazda,CX-9,46,20800,24995,4195,1850,Mike Johnson,2024-05-12
UC2024037,2019,Kia,Telluride,27,28200,32995,4795,2650,Sarah Chen,2024-05-15
UC2024038,2017,BMW,X3,81,24500,29995,5495,2200,Amanda Foster,2024-05-18
UC2024039,2020,Audi,Q5,21,31200,35995,4795,2850,Tom Rodriguez,2024-05-22
UC2024040,2018,Mercedes-Benz,GLC,53,27800,32995,5195,2480,Lisa Park,2024-05-25
UC2024041,2019,Volvo,XC60,39,26900,31995,5095,2350,Derek Williams,2024-05-28
UC2024042,2017,Infiniti,QX50,68,19800,24995,5195,1750,Mike Johnson,2024-06-01
UC2024043,2020,Cadillac,XT5,24,28500,33995,5495,2650,Sarah Chen,2024-06-04
UC2024044,2018,Lincoln,MKX,49,22900,27995,5095,2150,Amanda Foster,2024-06-07
UC2024045,2019,Genesis,GV70,30,32500,37995,5495,3050,Tom Rodriguez,2024-06-11
UC2024046,2017,Porsche,Macan,85,34200,39995,5795,3250,Lisa Park,2024-06-14
UC2024047,2020,Tesla,Model 3,11,28900,33995,5095,2450,Derek Williams,2024-06-17
UC2024048,2018,Jaguar,F-PACE,57,25800,31995,6195,2350,Mike Johnson,2024-06-21
UC2024049,2019,Land Rover,Discovery Sport,42,27200,32995,5795,2580,Sarah Chen,2024-06-24
UC2024050,2017,Maserati,Levante,93,31500,38995,7495,3150,Amanda Foster,2024-06-27
UC2024051,2020,Toyota,Prius,18,19800,23495,3695,1250,Tom Rodriguez,2024-06-30
UC2024052,2018,Honda,Insight,44,16200,19995,3795,1180,Lisa Park,2024-07-04
UC2024053,2019,Ford,Fusion Hybrid,37,15900,19495,3595,1320,Derek Williams,2024-07-07
UC2024054,2017,Chevrolet,Volt,71,13800,17995,4195,950,Mike Johnson,2024-07-10
UC2024055,2020,Nissan,Leaf,13,21200,24995,3795,1580,Sarah Chen,2024-07-14
